status,official_name,ocr_input,note
unmatched,,"""Here sprouted the first seedling %f",no match found
exact,"Ajani, Nacatl Pariah","Ajani, Nacatl Pariah",
unmatched,,Argoth. Here the last tree will fall.,no match found
corrected,Avacyn's Pilgrim,Avacyn $ Pilgrim,corrected from: Avacyn $ Pilgrim
exact,"Boseiju, Who Endures","Boseiju, Who Endures",
unmatched,,Crealure Elemental Incarnation,no match found
unmatched,,Creature Add Add one mana of any color: Spend Halfling Citizen,no match found
exact,Delighted Halfling,Delighted Halfling,
exact,Elder Gargaroth,Elder Gargaroth,
exact,Elvish Mystic,Elvish Mystic,
exact,Endurance,Endurance,
corrected,Esika's Chariot,Esika'$ Chariot,corrected from: Esika'$ Chariot
exact,Esper Sentinel,Esper Sentinel,
unmatched,,Evoke random order: Exile green card from your hand,no match found
exact,Fanatic of Rhonas,Fanatic of Rhonas,
exact,Flash,Flash,
corrected,Gaea's Cradle,Gaea $ Cradle,corrected from: Gaea $ Cradle
unmatched,,Gamtelen; Citanul elder,no match found
exact,Hallowed Fountain,Hallowed Fountain,
exact,Hedge Maze,Hedge Maze,
exact,Hexdrinker,Hexdrinker,
exact,Ketria Triome,Ketria Triome,
unmatched,,Legendary Land,no match found
exact,Leyline Binding,Leyline Binding,
exact,Mana Crypt,Mana Crypt,
exact,Misty Rainforest,Misty Rainforest,
corrected,"Nadu, Winged Wisdom",Nadu; Winged Wisdom,corrected from: Nadu; Winged Wisdom
exact,Noble Hierarch,Noble Hierarch,
exact,Occult Epiphany,Occult Epiphany,
exact,Opposition,Opposition,
exact,Pest Infestation,Pest Infestation,
unmatched,,Reach,no match found
exact,Scalding Tarn,Scalding Tarn,
exact,Sentinel of the Nameless City,Sentinel of the Nameless City,
exact,Skullclamp,Skullclamp,
exact,Staff of the Storyteller,Staff of the Storyteller,
exact,Sylvan Caryatid,Sylvan Caryatid,
exact,Temple Garden,Temple Garden,
unmatched,,There were toys Lle Hobbit-children had,no match found
exact,Tireless Tracker,Tireless Tracker,
exact,Ursine Monstrosity,Ursine Monstrosity,
unmatched,,When Endurance enters_ up [0 one,no match found
corrected,Windswept Heath,Windswept Heath_,corrected from: Windswept Heath_
exact,"Yavimaya, Cradle of Growth","Yavimaya, Cradle of Growth",
unmatched,,control. Add for cach creature you,no match found
unmatched,,graveyard on the bottom oftheir library,no match found
corrected,Jacked Rabbit,lacked Rabbit,corrected from: lacked Rabbit
unmatched,,"never seen beforc, all beautiful, and some",no match found
unmatched,,obviously magical:,no match found
unmatched,,target player puts all the cards fromrheir,no match found
unmatched,,"this mana only t0 cast and that spell"" can be countered. legendary spell,",no match found
