name,scryfall_id
Tropical Island,729daf0e-b822-41bd-a908-ca8ec34032f0
Kitesail Freebooter,f62fd592-4910-417d-a500-e7029f3d119f
"Sheoldred, the Apocalypse",d67be074-cdd4-41d9-ac89-0a0456c4e4b2
Alpha Deathclaw,ca4c8b04-66af-4cb3-8003-9088d8344b20
Bloodchief's Thirst,059e8447-6b1c-4651-a734-a8fea2cbf7b2
Arcane Denial,b0c5728e-43e7-417a-ba18-5038345cec67
Inquisition of Kozilek,56995b84-2307-4955-9c7c-dc4f04acdc07
Faerie Mastermind,52d3005f-a1c7-4ef5-911f-ccc0752f4181
"Narset, Parter of Veils",8c39f9b4-02b9-4d44-b8d6-4fd02ebbb0c5
Ertai Resurrected,7f7e780e-fbc5-4dc0-b5c7-efcb8645c7c6
Prismatic Vista,1ac01fff-4de6-4783-9489-4127e25bc641
Psychic Frog,68924203-c3d9-41ce-8ca8-c6dd491eb3ca
Thieving Skydiver,ff84ea71-e477-44f7-a3f8-77fef708efeb
Scrawling Crawler,a1176dcf-40ee-4342-aa74-791b8352e99a
Frantic Search,441f8b2f-c8cb-4340-a92f-116c2276e906
Sunset Saboteur,396bca07-82ba-49b7-b79e-7784b3a06d48
Mutavault,8ca3c48b-f104-4292-9a4e-2ce87a65893c
Concealing Curtains,612b2e6e-fe8d-49ad-b845-6fa7fa59ffd1
Mox Jet,5f6927e1-c580-483a-8e2a-6e2deb74800e
Night's Whisper,18f23daa-bc59-456a-8a28-3823e51bc74b
Rot-Curse Rakshasa,31276460-fa9d-47da-85c5-c4baa8074d0d
"Cecil, Dark Knight",026e7167-d665-43d0-a51e-8df2d68cdb5e
Heartless Act,e4e6794a-feeb-4fc8-a2ee-38c75c18aaae
Dark Ritual,493a5ca7-5f90-4af4-b6db-43ae09a2f2c9
Windfall,2aef4608-5ba8-4636-b5e7-cac57c5c0608
Porcelain Legionnaire,2616aa0e-8413-4e63-877c-bffd5263f552
Polluted Delta,0f7585c8-9e21-4eef-afc1-2852de23db2f
Unearth,b6cb2549-e485-44d6-9d65-7605c568909e
Remand,0027e5ca-8046-40a0-bd73-79be55f28bff
