name
Hullbreacher
Remand
Watery Grave
Barrowgoyf
Contaminated Landscape
Mana Leak
"Narset, Parter of Veils"
Badlands
Miscalculation
Scrawling Crawler
Duress
Demonic Tutor
"Sheoldred, the Apocalypse"
Currency Converter
Long Goodbye
Fallen Shinobi
Stern Scolding
Virtue of Persistence
Dismember
Ledger Shredder
Time Spiral
Kitesail Freebooter
Black Lotus
Memory Jar
"Malcolm, Alluring Scoundrel"
"Goben, Gene-Splice Savant"
Mishra's Bauble
