decktype
Aggro-Combo Lands
Artifacts
Artifacts Control
Azorius Blink
Azorius Combo Control
Azorius Control
Azorius Tempo
Birthing Pod
Birthing Pod Combo-Control
Boros Aggro
Combo Lands
Combo Mix
Combo-Control Lands
Dimir Control
Dimir Tempo
Domain Control
Draw 7
Draw 7 Combo-Control
Esper Control
Esper Tempo
Flash
Golgari Midrange
Greenbased Aggro-Combo
Grixis Control
Gruul Aggro
Izzet Control
Izzet Tempo
Jeskai Control
Jund Aggro
Jund Midrange
Landfall
Lands
Lifeloss Control
Lurrus Combo-Control
Lurrus Control
Mardu Aggro
Mardu Midrange
Nadu Combo-Control
Nadu Midrange
Naya Aggro
Opposition
Orzhov Blink
Orzhov Control
Orzhov Tempo
Orzhov Tokens
Rakdos Aggro
Rakdos Aggro-Combo
Reanimator
Reanimator Combo-Control
Reanimator-Flash
Reanimator-Sneak
Red Aggro
Selesnya Aggro
Selesnya Midrange
Simic Midrange
Simic Tempo
Sneak Attack
Sneak and Flash
Sneak and Show
Splinter-Twin
Storm
Sultai Control
White Aggro
Grixis Tempo
