name
"Teferi, Time Raveler"
Raffine s Tower
Ancient Tomb
Get Lost
Shadowy Backstreet
Fractured Identity
Underworld Breach
Yawgmoth's Will
Force of Will
Balance
Tishana s Tidebinder
Shelldock Isle
Brain Freeze
Hallowed Fountain
Mystic Confluence
Imperial Seal
Stock Up
"Teferi, Hero of Dominaria"
Novice Inspector
Steam Vents
"Beza, the Bounding Spring"
Brainstorm
Timetwister
Consider
"Tamiyo, Inquisitive Student"
Preordain
Lion s Eye Diamond
Sol Ring
Lorien Revealed
Mox Ruby
Scalding Tarn
Mishra's Bauble
Elegant Parlor
Marsh Flats
Land
Land Mountain Plains
:Add ? 0r #
Land
"Search your Pay life, Sacrifice Scalding Tarn: library for an Island"
Elegant Parlor enters the battlefield
"or Mountain card, put it onto the"
tapped.
"battlefield, then shuffle your library."
When Elegant Parlor enters the
"battlefield, surveil 1; (Look at the top"
"Search your Pay life, Sacrifice Marsh library for a Plains Flats:"
card of your library You may put it into
"Swamp card, put it onto the"
your graveyard )
MnjkAutolill cum
Ndpe
"battlefield, then shuffle your library."
NkhTEN
2021 Customn Proty
