name
"Ajani, Nacatl Pariah"
Swords t0 Plowshares
Umezawa's Jitte
Voice of Victory
Parallax Wave
Figure of Destiny
Mana Tithe
"Adeline, Resplendent Cathar JZC"
Lightning; Army of One
Cathar Commando
Luminarch Aspirant
8e8
Forth Eorlingas!
Descendant of Storms
Elite Spellbinder
"Phelia, Exuberant Shepherd"
Static Prison
Guide of Souls
Fateful Absence
Skyclave Apparition
Winds of Abandon
Mother of Runes
Earthshaker Khenra
Incinerate
"Inti , Seneschal of the Sun"
