name
Scrubland
Malcolu Alluring Scoundrel
Chrome Mox
Underground Sea
Ponder
Baleful Mastery
Volcanic Island
Expressive Iteration
Suplex
Laelia; the Blade Reforged
Generous Plunderer
Oliphaunt
Wan Shi Tong: Librarian
Gut; True Soul Zealot
White Plume Adventurer
Abrade
Spell Pierce
Cori-Steel Cutter
Lightning Bolt
Containment Priest
Multiversal Passage
Astrologian'$ Planisphere
Kaito.Bane of Nightmares
Legion Extruder
Counterspell
Spara s Headquarters
Snapcaster Mage
Troll 0f Khazad-dum
Strix Serenade
Wan Shi Tong All-Knowing
Vendilion Clique
Fallen Shinobi
