name
Sheoldred s Edict
Archon of Cruelty
Snuff Out
Reanimate
Thoughtseize
Mox Poison
Smuggler's Copter
Animate Dead
Vaultborn Tyrant
Necromancy
Entomb
Valgavoth Terror Eater
Greasewrench Goblin
Dance of the Dead
Charming Scoundrel
2e8
Grief
"Ivora, Insatiable Heir"
Galvanic Discharge
Black Lotus
Emperor of Bones
Unholy Heat
Seasoned Pyromancer
Lee
Palantir of Orthanc
Faithless Looting
Fear of Missing Out
Metamorphosis Fanatic
