status,official_name,ocr_input,note
exact,"Etali, Primal Conqueror","Etali, Primal Conqueror",
exact,Miscalculation,Miscalculation,
exact,Triplicate Titan,Triplicate Titan,
exact,Mana Drain,Mana Drain,
exact,Tangle Wire,Tangle Wire,
exact,Dack Fayden,Dack Fayden,
exact,Remand,Remand,
corrected,"Jace, Vryn's Prodigy","Jace,Vryn $ Prodigy","corrected from: Jace,Vryn $ Prodigy"
exact,Currency Converter,Currency Converter,
exact,Echo of Eons,Echo of Eons,
exact,Murktide Regent,Murktide Regent,
exact,"Saheeli, Sublime Artificer","Saheeli, Sublime Artificer",
exact,Repeal,Repeal,
exact,Flooded Strand,Flooded Strand,
exact,Mox Emerald,Mox Emerald,
exact,Sneak Attack,Sneak Attack,
exact,Volcanic Spite,Volcanic Spite,
exact,"Torsten, Founder of Benalia","Torsten, Founder of Benalia",
exact,Stern Scolding,Stern Scolding,
exact,"Urza, Lord High Artificer","Urza, Lord High Artificer",
exact,Flash,Flash,
exact,Third Path Iconoclast,Third Path Iconoclast,
exact,Skullclamp,Skullclamp,
exact,Lose Focus,Lose Focus,
exact,Brazen Borrower,Brazen Borrower,
exact,Prismari Command,Prismari Command,
exact,Thundering Falls,Thundering Falls,
unmatched,,Artifact Equipment,no match found
unmatched,,Equipped creature gets,no match found
unmatched,,"Whenever equipped creature dies,",no match found
unmatched,,Creature Faerie Rogue,no match found
unmatched,,Equip draw two cards_,no match found
unmatched,,Petty Theft Instant Adventure Flash Flying,no match found
unmatched,,The mind is a beautiful bounty encased,no match found
unmatched,,in an annoying bone container: mpEAutolill Cn,no match found
unmatched,,Retum [arget,no match found
unmatched,,HoIVKGALL,no match found
unmatched,,Wauaggillh,no match found
unmatched,,Land Island Mountain,no match found
unmatched,,to its owner nonland permanent an opponent controls hand. can block only creatures Wch flying: Brazen Borrower,no match found
unmatched,,:Add,no match found
