status,official_name,ocr_input,note
exact,Scrubland,Scrubland,
corrected,"Malcolm, Alluring Scoundrel",Malcolu Alluring Scoundrel,corrected from: Malcolu Alluring Scoundrel
exact,Chrome Mox,Chrome Mox,
exact,Underground Sea,Underground Sea,
exact,Ponder,Ponder,
exact,Baleful Mastery,Baleful Mastery,
exact,Volcanic Island,Volcanic Island,
exact,Expressive Iteration,Expressive Iteration,
exact,Suplex,Suplex,
corrected,"Laelia, the Blade Reforged",Laelia; the Blade Reforged,corrected from: Laelia; the Blade Reforged
exact,Generous Plunderer,Generous Plunderer,
exact,Oliphaunt,Oliphaunt,
corrected,"Wan Shi Tong, Librarian",Wan Shi Tong: Librarian,corrected from: Wan Shi Tong: Librarian
corrected,"Gut, True Soul Zealot",Gut; True Soul Zealot,corrected from: Gut; True Soul Zealot
exact,White Plume Adventurer,White Plume Adventurer,
exact,Abrade,Abrade,
exact,Spell Pierce,Spell Pierce,
exact,Cori-Steel Cutter,Cori-Steel Cutter,
exact,Lightning Bolt,Lightning Bolt,
exact,Containment Priest,Containment Priest,
exact,Multiversal Passage,Multiversal Passage,
corrected,Astrologian's Planisphere,Astrologian'$ Planisphere,corrected from: Astrologian'$ Planisphere
corrected,"Kaito, Bane of Nightmares",Kaito.Bane of Nightmares,corrected from: Kaito.Bane of Nightmares
exact,Legion Extruder,Legion Extruder,
exact,Counterspell,Counterspell,
corrected,Spara's Headquarters,Spara s Headquarters,corrected from: Spara s Headquarters
exact,Snapcaster Mage,Snapcaster Mage,
corrected,Troll of Khazad-dÃ»m,Troll 0f Khazad-dum,corrected from: Troll 0f Khazad-dum
exact,Strix Serenade,Strix Serenade,
corrected,"Wan Shi Tong, All-Knowing",Wan Shi Tong All-Knowing,corrected from: Wan Shi Tong All-Knowing
exact,Vendilion Clique,Vendilion Clique,
exact,Fallen Shinobi,Fallen Shinobi,
