status,official_name,ocr_input,note
exact,"Ajani, Nacatl Pariah","Ajani, Nacatl Pariah",
corrected,Swords to Plowshares,Swords t0 Plowshares,corrected from: Swords t0 Plowshares
exact,Umezawa's Jitte,Umezawa's Jitte,
exact,Voice of Victory,Voice of Victory,
exact,Parallax Wave,Parallax Wave,
exact,Figure of Destiny,Figure of Destiny,
exact,Mana Tithe,Mana Tithe,
corrected,"Adeline, Resplendent Cathar","Adeline, Resplendent Cathar JZC","corrected from: Adeline, Resplendent Cathar JZC"
corrected,"Lightning, Army of One",Lightning; Army of One,corrected from: Lightning; Army of One
exact,Cathar Commando,Cathar Commando,
exact,Luminarch Aspirant,Luminarch Aspirant,
unmatched,,8e8,no match found
exact,Forth Eorlingas!,Forth Eorlingas!,
exact,Descendant of Storms,Descendant of Storms,
exact,Elite Spellbinder,Elite Spellbinder,
exact,"Phelia, Exuberant Shepherd","Phelia, Exuberant Shepherd",
exact,Static Prison,Static Prison,
exact,Guide of Souls,Guide of Souls,
exact,Fateful Absence,Fateful Absence,
exact,Skyclave Apparition,Skyclave Apparition,
exact,Winds of Abandon,Winds of Abandon,
exact,Mother of Runes,Mother of Runes,
exact,Earthshaker Khenra,Earthshaker Khenra,
exact,Incinerate,Incinerate,
corrected,"Inti, Seneschal of the Sun","Inti , Seneschal of the Sun","corrected from: Inti , Seneschal of the Sun"
