name
"""Here sprouted the first seedling %f"
"Ajani, Nacatl Pariah"
Argoth. Here the last tree will fall.
Avacyn $ Pilgrim
"Boseiju, Who Endures"
Crealure Elemental Incarnation
Creature Add Add one mana of any color: Spend Halfling Citizen
Delighted Halfling
Elder Gargaroth
Elvish Mystic
Endurance
Esika'$ Chariot
Esper Sentinel
Evoke random order: Exile green card from your hand
Fanatic of Rhonas
Flash
Gaea $ Cradle
Gamtelen; Citanul elder
Hallowed Fountain
Hedge Maze
Hexdrinker
Ketria Triome
Legendary Land
Leyline Binding
Mana Crypt
Misty Rainforest
Nadu; Winged Wisdom
Noble Hierarch
Occult Epiphany
Opposition
Pest Infestation
Reach
Scalding Tarn
Sentinel of the Nameless City
Skullclamp
Staff of the Storyteller
Sylvan Caryatid
Temple Garden
There were toys Lle Hobbit-children had
Tireless Tracker
Ursine Monstrosity
When Endurance enters_ up [0 one
Windswept Heath_
"Yavimaya, Cradle of Growth"
control. Add for cach creature you
graveyard on the bottom oftheir library
lacked Rabbit
"never seen beforc, all beautiful, and some"
obviously magical:
target player puts all the cards fromrheir
"this mana only t0 cast and that spell"" can be countered. legendary spell,"
