name
Archon ' of Cruelty
"Mind"" Twist"
Seasoned Pyromancer
"Inti, Seneschal of the Sun"
Bone Shards
Atraxa. Grand Unifier
Ivora: Insatiable Heir
Baleful Mastery
Griselbrand
Charming Scoundrel
Giver of Runes
Valgavoth Terror Eater
RagavanNimble Pilferer
Swords to Plowshares
Animate Dead
Fiery Confluence
Get Lost
Necromancy
Chain Lightning
Touch the Spirit Realm
Reanimate
Kolaghans Command
Oliphaunt
Exhume
Elegant Parlor
Blood Crypt
Entomb
Mox Pearl
Shadowx Backstreet
Instant
Artilact
Search your library for # card and put
that card into your graveyurd. Then
shuflle your library.
"""TUreturn once Vou ve ripened"
Add 8
Ghoulcaller Gisa
"Jour card 0f your Subrveil battlefield, When battlefield Shadowy Land (~:Add graveyard ) Shadowy Plains Backstreet ' library: tapped. Swamp Backsueet You may (Look enters Put It into entets the Iop thee"
