name
Ignoble Hierarch
Sowing Mycospawn
Ouroboroid
Woodfall Primus
"Nissa, Who Shakes the World"
Natural Order
Green Sun's Zenith
Alpha Deathclaw
Mox Jet
"Titania, Protector of Argoth"
Mox Poison
Grist; the Hunger Tide
Unstoppable Slasher
Deep Forest Hermit
Oracle of Mul Daya
Underground Mortuary _
Commune with Beavers
Gilded Goose
Vaultborn Tyrant
Questing Beast
Gleemox
Abrupt Decay
Birthing Ritual
Sylvan Library
Court of Garenbrig
Dark Ritual
"Surrak, Elusive Hunter"
Nop
Enchantment
When At the Court of Garenbrig enters the beginning of your upkeep
"battlefield, you become the monarch"
Instant
Legendary Creature Human Warrior
counters among
distribute two
Then if
4Pto 5o argaarcea double tennumber
This spell can t be countered.
you of +1/+1 counters on re the monarch; each creature you
Add #06_
Whenever Trample spell elbiloty control becomes the target ol a an opponcnt 4 crcalure you control or a crcature controls; druw a card. spell
RvOC control:
Fve spent my life feeding Atarka $ desire and
JuutntKers:
