name
Flickerwisp
Charming Prince
Tamiyo.Inquisitive Student
Toby. Beastie Befriender
Thraben Inspector
Voice of Victory
Solitude
Soulherder
Reprieve
(Sleight of Hand
White Plume Adventurer
Lose Focus
Path t0 Exile
Adeline; Resplendent Cathar 168
Drain
Oust
Parallax Wave
"Wan Shi Tong,AlI-Knowing"
Force of Will
Teferi; Hero of Dominaria
Mana Confluence
Councils ludgment
Beza_ the Bounding Spring
Meticulous Archive
Force of Negation
Flooded Strand
Tundra
Karakas
Library Of Alexandria
Starting Town
Legendary Land
Add
Land
Land Town
Retumn target legendary creature
[0 ILS owner $ hand.
"Mirst , This Add Pay land enters tapped second, or third turn Of the life: Add one mana of unless it""$ your any game. color:"
only if you in hand. Add Draw have card. Activate this ability exactly seven cards
"0 ighetarhalli""c tils the torld, four Warriors"
of Light shall coie
