name
(Otharri. Suns' Glory
Gut; True Soul Zealot
Intrepid Adversary
"Elspeth, Stcrzi Siaver"
Enduring Innocence
Ademi of the Silkchutes
Pyrogoyf
FFable of the Mirror-Breaker
Headliner Scarlett
Luminarch Aspirant
Earthshaker Khenra
Fateful Absence
Elite Spellbinder
Cathar Commando
Winds of Abandon
Lightning Bolt
Static Prison
Mana Tithe
Novice Inspector
Ocelot Pride
Mother of Runes
Sol Ring
Guide of Souls
Chrome Mox
Den of the Bugbear
Plateau
Mutavault
