name
Finale of Devastation
Courser of Kruphix
Fastbond
(Six
Baloth Prime
Birds of Paradise
Craterhoof Behemoth
Exploration
Llanowar Elves
Goldvein Hydra
Traveling Chocobo
Greasewrench Goblin
Badgermole Cub
"(Kellan, Planar Trailblazer"
"Bristly Bill,Spine Sower"
Scavenging Ooze
Amped Raptor
Shadowspear
Ramunap Excavator
Taiga
Mox Sapphire
Zuran Orb
Stomping Ground
Wrenn and Six
Bountiful Landscape
Formidable Speaker
Artilact
Minsc & Boo: Tlmeless Heroes 220
Add 0
Land Add
Sacrifice Bountiful Landscape:
Scarch your library for a basic Forest;
"Island, %r Mountain card, pUt it onto"
the battlefield tapped; then shuffle.
Legendary Planeswalker Minsc
enlen Inc cehturernken
"G0ji Cycling card: Drat card ) 3 , Discard this"
4hsr
