name
5ee
Badlands
Barrowgoyf
Black Lotus
Contaminated Landscape
Currency Converter
Demonic Tutor
Dismember
Duress
Fallen Shinobi
"Goben, Gene-Splice Savant"
Hullbreacher
Kitesail Freebooter
Ledger Shredder
Long Goodbye
Malcolm Alluring Scoundrel
Mana Leak
Memory Jar _
Miscalculation
Mishra s Bauble
"Narset, Parter of Veils"
Remand
Scrawling Crawler_
Sheoldred the Apocalypse
Stern Scolding
Time Spiral
Virtue of Persistence
Watery Grave
