name
Loran 0f he Third Path
Sol Ring
Knight of Autumn
Sage of the Skies
Mana Crypt
Alpha Deathclaw
Summon: Good King Mog XiI
"Teferi, Hero of Dominaria"
Fire Covenant
"(As tts  Saga enters cPad ajter Your drat Step,"
"Bloodchief""s Thirst"
Soulherder
Dack Fayden
"Omnath, Locus of Creation"
Mind Twist
Lingering Souls
Scions of the Ur-Spider
Deep Cavern Bat
Tidehollow Sculler
Tamiyo. Inquisitive Student
(Headliner Scarlett
Leyline Binding
"Phelia, Exuberant Shepherd"
Unholy Heat
Ziatora s Proving Ground
Birthing Ritual
Badlands
Troll of Khazad-dum
Overgrown Tomb
Steam Vents
Godless Shrine
Savannah
Meticulous _ Archive
Thundering Falls
Arid Mesa
Verdant Caracombs
