name
Incinerate
Chainsaw
Hooded Strand
Blood Crypt
Molten Collapsc
Polluted Delta
Giver of Runes
Chain Lightning
Thraben Inspector
Charming Prince
Porcelain Legionnaire
Screaming Nemesis
White Plume Adventurer
Earthshaker Khenra
Windswept Heath
Broadside Bombardiers
Comen Stellar Pup
Guide of Souls
Plateau
Tundra
Mana Vault
Barrowsoyf
Fractured Identity
Adanto Vanguard
Forth Eorlingas!
Savai Triome
Masda. Brazen Outlaw
(Asthus Fable of the Mirror-Breaker Sazu mice
Embereth Shieldbreaker
Zealous Conscripts
Legendary Creaturt-
Berserker
Other Dwarves YOu control get +1/+0_
"Wheneter [apped, create Sacrifice five"" Dwarf you control bccomes Treasures: Search your Treasure token"
Battle Display Creature Human Knight
"library for an #rtifact Or Dragon card,"
"put that card onto the battleficld, then"
shuffle
"chit card You midy Sorcery Destroy artifuct the cratur later unue rik hield ""Couraga necd thc only'"
Fromerile )
"Dermanent until end of battlefield, that permanent. It, When Haste Crealure Zealous "" Human Warrior gain control of Conscripts enters the gains haste untii tum_ [arget"
end of turn
