name
Flash
Kitesail Freebooter
Duress
Cathartic Pxre
Bloodtithe Harvester
Reanimate
Animate Dead
Bitter Triumph
Concealing Curtains
Infernal Grasp
lace Vryn'$ Prodigy
Bone Shards
Necromancy
Time Walk
Grief
Hullbreacher
Demonic Tutor
Remand
"Narset, Parter of Veils"
Nethergoyf_
Overlord of the Balemurk
Vaultborn Tyrant
Ancient Tomb
Hymn t0 Tourach
Griselbrand
Xander'$ Lounge _
Wooded Foothills
Misty Rainforest
Volcanic Island
Shelldock Isle
"Land Pay 1 life, Sacrifice Wooded"
Foothills: Search your library f0o
"Mountain O Forest card:put it onto the library battlefield, then shuffle your"
Land
Land Island Mountain
Hideaway (This land euters the bautlefield
"Where dragons' breath once burned, thetr"
"tapprd cards of your library, exile one face dozn; then When does, look at the top fon"
put the rest On Ihe bottom of your library )
bones now freeze:
Add or ? )
without Iwenty or fewer cards in it: Add You may play the exiled card paying its mana cost if library has
aoiltali
