name
Step
Talisman of Curiosity
Perilous Landscape
Confluence
Walking Ballista
Upheaval
Talisman of Dominance
"Ugin, Eye of the Storms"
Cori-Steel Cutter
Urza $ Saga
Force of Will
Counterspell
Ponder
Step
Balance
Third Path Iconoclast
Step 3:
"Ragavan, Nimble Pilferer"
Legion Extruder
Currency Converter
Lorien Revealed
"Saheeli,Sublime Artificer"
Ketria Triome
Mishra s Workshop
Step 4:
"Tezzeret, Cruel Captain"
Lightning Bolt
Tolarian Academy
Fiery Confluence
Expedition Map
Dismember
Everflowing Chalice
Step 5:
Relic of Sauron
Coalition Relic
Gleemox
"Otawara, Soaring City"
The One Ring
