name
Questing Beast
Finale of Devastation
Gitaxian Probe
Commune with Beavers
The Aetherspark
Delighted Halfling
Green Sun $ Zenith
Brazen Borrower
Strix Serenade
Goldvein Hydra
"Oko, Thief of Crowns"
Hedge Maze
Noble Hierarch
Court of Garenbrig
Deep Forest Hermit
Time Spiral
Phantasmal Image
Tranquil Landscape
Goben; Gene-Splice Savant
Timetwister
Spara's Headquarters
Spell Pierce
Sylvan Caryatid
"Malcolm,Alluring Scoundrel"
Batterskull
Llanowar Elves
Sleight of Hand
Black Lotus
Creature Elf Druld
(Sorcery
Add
Arlifact
Look @Lghc (OP two cards ofyour
One bone broken for every twig snapped
library Put onc of them into your
underfoot:
hand and the othcr 0n the bottom of
~Llanowar panalty for trespassing
"@, Sacrifice Black Lotus: mana of any Onle color; Add thrce"
your library:
"""Gambling with mages nGver ix"""
"~Remin, ucnerabla )onk"
