status,official_name,ocr_input,note
exact,Virtue of Persistence,Virtue of Persistence,
exact,Elite Spellbinder,Elite Spellbinder,
exact,Dauthi Voidwalker,Dauthi Voidwalker,
exact,Prismatic Ending,Prismatic Ending,
exact,Preacher of the Schism,Preacher of the Schism,
exact,Sunset Saboteur,Sunset Saboteur,
exact,Unstoppable Slasher,Unstoppable Slasher,
exact,Collective Brutality,Collective Brutality,
exact,Rot-Curse Rakshasa,Rot-Curse Rakshasa,
exact,Darkstar Augur,Darkstar Augur,
exact,Get Lost,Get Lost,
exact,Emperor of Bones,Emperor of Bones,
exact,Archangel Elspeth,Archangel Elspeth,
exact,Dark Confidant,Dark Confidant,
exact,Dark Ritual,Dark Ritual,
corrected,"Gideon, Ally of Zendikar","Gideon, Ally of Zendikar_","corrected from: Gideon, Ally of Zendikar_"
exact,Voice of Victory,Voice of Victory,
corrected,Helping Hand,Helping Hand_,corrected from: Helping Hand_
exact,"Ajani, Nacatl Pariah","Ajani, Nacatl Pariah",
exact,Parallax Wave,Parallax Wave,
exact,The Wandering Emperor,The Wandering Emperor,
exact,Caustic Bronco,Caustic Bronco,
exact,Snuff Out,Snuff Out,
exact,Pre-War Formalwear,Pre-War Formalwear,
exact,Mox Ruby,Mox Ruby,
corrected,Scrubland,Scrubland_,corrected from: Scrubland_
exact,Bloodstained Mire,Bloodstained Mire,
corrected,Mox Jet,Mox let,corrected from: Mox let
